puttalam,tauu,rlus,sfcWind,rsuscs,rsus,rsdscs,prw,hurs,rtmt,ua_850,evspsbl,vas,clwvi,rsutcs,rsds,ua_500,va_850,pr,huss,sbl,zg_500,wap_500,clt,va_500,clivi,ta_500,psl,hfls,hfss,prc,ps,rlds,rldcs,rlut,rlutcs,rsdt,rsut,ta_850,tas,tasmax,tasmin,tauv,tro3_500,tro3_850,ts,uas,wap_850,zg_850,date
63.3,0.152785362,0.142044615,0.477827787,0.45499543,0.497287185,0.322817166,0.440014821,0.638365307,0.29882393,0.158364998,0.578823529,0.180726415,0.146168792,0.104745601,0.478291528,0.420416536,0.400942981,0.214065114,0.408197419,0.239747634,0.49134761,0.676277743,0.759674103,0.631208961,0.124876531,0.23412827,0.825016228,0.578248885,0.283696706,0.231442793,0.824132258,0.461467543,0.396103364,0.525015141,0.403437849,0.157363043,0.302987305,0.185366419,0.161408521,0.135348773,0.221053042,0.224633661,0.673353817,0.863010211,0.147308256,0.130948047,0.736839515,0.739985589,1/1/1980
65.8,0.160138466,0.264588242,0.36729629,0.726774359,0.744862652,0.662824554,0.319733541,0.468712562,0.59996015,0.148911909,0.371764706,0.299103694,0.086359327,0.254006419,0.793102625,0.510393612,0.467095897,0.063879905,0.388800307,0.623659306,0.547899207,0.786882861,0.365344193,0.678216958,0.104379521,0.294788738,0.65625911,0.370735772,0.516916722,0.069053053,0.655674902,0.353972651,0.355987113,0.674835762,0.58248137,0.555964382,0.141718587,0.455033701,0.304472698,0.374377521,0.24127351,0.308724028,0.710253136,0.673910168,0.28624452,0.128114615,0.909573121,0.615099874,2/1/1980
101.1,0.244791421,0.59177248,0.126315913,0.988048427,0.980332188,0.980187883,0.177955384,0.008800045,0.629573345,0.24862291,0.145882353,0.475459058,0.034290824,0.377595747,0.99021623,0.247345519,0.388860871,0.067931002,0.263526073,0.240694006,0.549237587,0.787599914,0.365877548,0.513742069,0.018361379,0.578158892,0.528729833,0.146764014,0.796897422,0.073272002,0.525321189,0.286096209,0.329142739,0.91275671,0.892970261,0.896932887,0.103644646,0.573847222,0.596408352,0.728056472,0.390637176,0.452436492,0.705781707,0.774461813,0.63175126,0.235085711,0.537343453,0.570181246,3/1/1980
247.1,0.492493546,0.779492146,0.319730989,0.85748501,0.641254726,0.986356578,0.480825144,0.305398829,0.768144587,0.473366505,0.371764706,0.753237591,0.134956699,0.250833582,0.736538708,0.435662793,0.641007137,0.219957618,0.644833749,0.503470032,0.581052247,0.634507855,0.526775778,0.560396823,0.135438723,0.476294227,0.426057797,0.373029074,0.62272708,0.237811018,0.42201896,0.660751597,0.696792691,0.564855954,0.575864577,0.997929015,0.349961933,0.667743658,0.76097736,0.744221386,0.74364528,0.677381612,0.514572251,0.602426154,0.784966185,0.583026558,0.433169983,0.519759683,4/1/1980
93.7,0.659536165,0.82161303,0.617099092,0.633128757,0.734383414,0.829790512,0.406789701,0.416917269,0.681048881,0.518977004,0.484705882,0.894055942,0.049466492,0.260597797,0.891687396,0.364540959,0.748433542,0.082956888,0.78196297,0.651735016,0.574903091,0.693796687,0.071480017,0.365736397,0.029384774,0.643301915,0.302313059,0.485136245,0.85170026,0.089749784,0.30142465,0.642759891,0.752317902,0.86226945,0.843710171,0.892980471,0.101514015,0.827183048,0.816335811,0.836436651,0.786980646,0.815424459,0.997093975,0.698438359,0.828084413,0.768470363,0.79543573,0.402319097,5/1/1980
0.4,0.924645826,0.562653715,0.949859067,0.427880071,0.467482855,0.67663213,0.770612335,0.656981945,0.724873541,0.895176416,0.552941176,0.899001123,0.171556408,0.152906775,0.545688601,0.656266988,0.579507279,0.354012096,0.82953341,0.194952681,0.277683224,0.487995983,0.731572956,0.833307638,0.165708142,0.617275128,0.075082883,0.552154122,0.51724736,0.382688139,0.076533099,0.821130376,0.842340398,0.39625656,0.319441939,0.781067027,0.410545157,0.682362245,0.636125286,0.554724679,0.776550523,0.915091741,0.491974855,0.298067271,0.554278138,0.941031944,0.754067956,0.041043743,6/1/1980
9.3,0.722931464,0.682868989,0.659844738,0.442205301,0.673313685,0.692578052,0.70962026,0.4378194,0.863890616,0.695398714,0.298823529,0.795773799,0.069301273,0.195077201,0.798121354,0.588973225,0.468867861,0.124940983,0.719982853,0.917981073,0.432968443,0.757796477,0.427394758,0.695113453,0.076489423,0.408378716,0.308502383,0.298574326,0.815090214,0.135123388,0.307755128,0.734559957,0.823863191,0.570253212,0.350753403,0.802902777,0.149420729,0.634078305,0.713061281,0.705074621,0.760553385,0.759325029,0.285378746,0.231523864,0.68071212,0.830927054,0.615529937,0.342389257,7/1/1980
0.2,0.770393425,0.544415371,0.67419025,0.740487356,0.495325935,0.825255013,0.785394407,0.586741147,0.825326856,0.82544151,0.430588235,0.779830459,0.32212002,0.178770581,0.508052837,0.895442226,0.484631365,0.376108988,0.728692645,0.374132492,0.411663285,0.682025,0.819765343,0.840800439,0.404852199,0.439467105,0.399836557,0.42968056,0.541604285,0.406568983,0.40283388,0.812816066,0.804893892,0.246088135,0.188211621,0.898052644,0.524332153,0.470761738,0.590300704,0.51680231,0.714647777,0.741991769,0.312894613,0.233046634,0.536783489,0.838771178,0.483553221,0.404315415,8/1/1980
20.8,0.622442438,0.596596731,0.53832732,0.997996333,0.553185467,0.838281485,0.772299375,0.577545787,0.757781993,0.664308444,0.392941176,0.8846932,0.365028461,0.250343577,0.572108359,0.443771109,0.944454893,0.356958348,0.753082787,0.339116719,0.535698723,0.581124194,0.504114283,0.882993208,0.401475775,0.481625704,0.429954021,0.393496805,0.530353724,0.372339773,0.428517311,0.789542178,0.819028458,0.374616742,0.28399624,0.879279365,0.458202329,0.52657537,0.633031544,0.567032383,0.724959561,0.818618372,0.084743179,0.077546174,0.585902048,0.740175634,0.604378327,0.466768499,9/1/1980
137.8,0.466701996,0.545667896,0.2042907,0.846464073,0.353441652,0.628225197,0.840955144,0.773000825,0.448769715,0.505560423,0.181176471,0.750890252,0.40876012,0.18363167,0.37181869,0.600359433,0.781896279,0.527840979,0.827912823,0.639432177,0.694007752,0.364009594,0.60759055,0.751870259,0.226122302,0.618872381,0.64484669,0.180708887,0.339690453,0.56179447,0.643299967,0.873482497,0.868004505,0.396331971,0.256359571,0.628823015,0.560610606,0.427384184,0.559014094,0.453313581,0.697555992,0.646542019,0.156713402,0.12467773,0.52631016,0.58784465,0.26398211,0.717742446,10/1/1980
